Species,day,part,Length,Width
setosa,1,Sepal,5.1,3.5
setosa,1,Petal,1.4,0.2
setosa,2,Sepal,4.9,3
setosa,2,Petal,1.4,0.2
setosa,3,Sepal,4.7,3.2
setosa,3,Petal,1.3,0.2
setosa,4,Sepal,4.6,3.1
setosa,4,Petal,1.5,0.2
setosa,5,Sepal,5,3.6
setosa,5,Petal,1.4,0.2
setosa,6,Sepal,5.4,3.9
setosa,6,Petal,1.7,0.4
setosa,7,Sepal,4.6,3.4
setosa,7,Petal,1.4,0.3
setosa,8,Sepal,5,3.4
setosa,8,Petal,1.5,0.2
setosa,9,Sepal,4.4,2.9
setosa,9,Petal,1.4,0.2
setosa,10,Sepal,4.9,3.1
setosa,10,Petal,1.5,0.1
setosa,11,Sepal,5.4,3.7
setosa,11,Petal,1.5,0.2
setosa,12,Sepal,4.8,3.4
setosa,12,Petal,1.6,0.2
setosa,13,Sepal,4.8,3
setosa,13,Petal,1.4,0.1
setosa,14,Sepal,4.3,3
setosa,14,Petal,1.1,0.1
setosa,15,Sepal,5.8,4
setosa,15,Petal,1.2,0.2
setosa,16,Sepal,5.7,4.4
setosa,16,Petal,1.5,0.4
setosa,17,Sepal,5.4,3.9
setosa,17,Petal,1.3,0.4
setosa,18,Sepal,5.1,3.5
setosa,18,Petal,1.4,0.3
setosa,19,Sepal,5.7,3.8
setosa,19,Petal,1.7,0.3
setosa,20,Sepal,5.1,3.8
setosa,20,Petal,1.5,0.3
setosa,21,Sepal,5.4,3.4
setosa,21,Petal,1.7,0.2
setosa,22,Sepal,5.1,3.7
setosa,22,Petal,1.5,0.4
setosa,23,Sepal,4.6,3.6
setosa,23,Petal,1,0.2
setosa,24,Sepal,5.1,3.3
setosa,24,Petal,1.7,0.5
setosa,25,Sepal,4.8,3.4
setosa,25,Petal,1.9,0.2
setosa,26,Sepal,5,3
setosa,26,Petal,1.6,0.2
setosa,27,Sepal,5,3.4
setosa,27,Petal,1.6,0.4
setosa,28,Sepal,5.2,3.5
setosa,28,Petal,1.5,0.2
setosa,29,Sepal,5.2,3.4
setosa,29,Petal,1.4,0.2
setosa,30,Sepal,4.7,3.2
setosa,30,Petal,1.6,0.2
setosa,31,Sepal,4.8,3.1
setosa,31,Petal,1.6,0.2
setosa,32,Sepal,5.4,3.4
setosa,32,Petal,1.5,0.4
setosa,33,Sepal,5.2,4.1
setosa,33,Petal,1.5,0.1
setosa,34,Sepal,5.5,4.2
setosa,34,Petal,1.4,0.2
setosa,35,Sepal,4.9,3.1
setosa,35,Petal,1.5,0.2
setosa,36,Sepal,5,3.2
setosa,36,Petal,1.2,0.2
setosa,37,Sepal,5.5,3.5
setosa,37,Petal,1.3,0.2
setosa,38,Sepal,4.9,3.6
setosa,38,Petal,1.4,0.1
setosa,39,Sepal,4.4,3
setosa,39,Petal,1.3,0.2
setosa,40,Sepal,5.1,3.4
setosa,40,Petal,1.5,0.2
setosa,41,Sepal,5,3.5
setosa,41,Petal,1.3,0.3
setosa,42,Sepal,4.5,2.3
setosa,42,Petal,1.3,0.3
setosa,43,Sepal,4.4,3.2
setosa,43,Petal,1.3,0.2
setosa,44,Sepal,5,3.5
setosa,44,Petal,1.6,0.6
setosa,45,Sepal,5.1,3.8
setosa,45,Petal,1.9,0.4
setosa,46,Sepal,4.8,3
setosa,46,Petal,1.4,0.3
setosa,47,Sepal,5.1,3.8
setosa,47,Petal,1.6,0.2
setosa,48,Sepal,4.6,3.2
setosa,48,Petal,1.4,0.2
setosa,49,Sepal,5.3,3.7
setosa,49,Petal,1.5,0.2
setosa,50,Sepal,5,3.3
setosa,50,Petal,1.4,0.2
versicolor,1,Sepal,7,3.2
versicolor,1,Petal,4.7,1.4
versicolor,2,Sepal,6.4,3.2
versicolor,2,Petal,4.5,1.5
versicolor,3,Sepal,6.9,3.1
versicolor,3,Petal,4.9,1.5
versicolor,4,Sepal,5.5,2.3
versicolor,4,Petal,4,1.3
versicolor,5,Sepal,6.5,2.8
versicolor,5,Petal,4.6,1.5
versicolor,6,Sepal,5.7,2.8
versicolor,6,Petal,4.5,1.3
versicolor,7,Sepal,6.3,3.3
versicolor,7,Petal,4.7,1.6
versicolor,8,Sepal,4.9,2.4
versicolor,8,Petal,3.3,1
versicolor,9,Sepal,6.6,2.9
versicolor,9,Petal,4.6,1.3
versicolor,10,Sepal,5.2,2.7
versicolor,10,Petal,3.9,1.4
versicolor,11,Sepal,5,2
versicolor,11,Petal,3.5,1
versicolor,12,Sepal,5.9,3
versicolor,12,Petal,4.2,1.5
versicolor,13,Sepal,6,2.2
versicolor,13,Petal,4,1
versicolor,14,Sepal,6.1,2.9
versicolor,14,Petal,4.7,1.4
versicolor,15,Sepal,5.6,2.9
versicolor,15,Petal,3.6,1.3
versicolor,16,Sepal,6.7,3.1
versicolor,16,Petal,4.4,1.4
versicolor,17,Sepal,5.6,3
versicolor,17,Petal,4.5,1.5
versicolor,18,Sepal,5.8,2.7
versicolor,18,Petal,4.1,1
versicolor,19,Sepal,6.2,2.2
versicolor,19,Petal,4.5,1.5
versicolor,20,Sepal,5.6,2.5
versicolor,20,Petal,3.9,1.1
versicolor,21,Sepal,5.9,3.2
versicolor,21,Petal,4.8,1.8
versicolor,22,Sepal,6.1,2.8
versicolor,22,Petal,4,1.3
versicolor,23,Sepal,6.3,2.5
versicolor,23,Petal,4.9,1.5
versicolor,24,Sepal,6.1,2.8
versicolor,24,Petal,4.7,1.2
versicolor,25,Sepal,6.4,2.9
versicolor,25,Petal,4.3,1.3
versicolor,26,Sepal,6.6,3
versicolor,26,Petal,4.4,1.4
versicolor,27,Sepal,6.8,2.8
versicolor,27,Petal,4.8,1.4
versicolor,28,Sepal,6.7,3
versicolor,28,Petal,5,1.7
versicolor,29,Sepal,6,2.9
versicolor,29,Petal,4.5,1.5
versicolor,30,Sepal,5.7,2.6
versicolor,30,Petal,3.5,1
versicolor,31,Sepal,5.5,2.4
versicolor,31,Petal,3.8,1.1
versicolor,32,Sepal,5.5,2.4
versicolor,32,Petal,3.7,1
versicolor,33,Sepal,5.8,2.7
versicolor,33,Petal,3.9,1.2
versicolor,34,Sepal,6,2.7
versicolor,34,Petal,5.1,1.6
versicolor,35,Sepal,5.4,3
versicolor,35,Petal,4.5,1.5
versicolor,36,Sepal,6,3.4
versicolor,36,Petal,4.5,1.6
versicolor,37,Sepal,6.7,3.1
versicolor,37,Petal,4.7,1.5
versicolor,38,Sepal,6.3,2.3
versicolor,38,Petal,4.4,1.3
versicolor,39,Sepal,5.6,3
versicolor,39,Petal,4.1,1.3
versicolor,40,Sepal,5.5,2.5
versicolor,40,Petal,4,1.3
versicolor,41,Sepal,5.5,2.6
versicolor,41,Petal,4.4,1.2
versicolor,42,Sepal,6.1,3
versicolor,42,Petal,4.6,1.4
versicolor,43,Sepal,5.8,2.6
versicolor,43,Petal,4,1.2
versicolor,44,Sepal,5,2.3
versicolor,44,Petal,3.3,1
versicolor,45,Sepal,5.6,2.7
versicolor,45,Petal,4.2,1.3
versicolor,46,Sepal,5.7,3
versicolor,46,Petal,4.2,1.2
versicolor,47,Sepal,5.7,2.9
versicolor,47,Petal,4.2,1.3
versicolor,48,Sepal,6.2,2.9
versicolor,48,Petal,4.3,1.3
versicolor,49,Sepal,5.1,2.5
versicolor,49,Petal,3,1.1
versicolor,50,Sepal,5.7,2.8
versicolor,50,Petal,4.1,1.3
virginica,1,Sepal,6.3,3.3
virginica,1,Petal,6,2.5
virginica,2,Sepal,5.8,2.7
virginica,2,Petal,5.1,1.9
virginica,3,Sepal,7.1,3
virginica,3,Petal,5.9,2.1
virginica,4,Sepal,6.3,2.9
virginica,4,Petal,5.6,1.8
virginica,5,Sepal,6.5,3
virginica,5,Petal,5.8,2.2
virginica,6,Sepal,7.6,3
virginica,6,Petal,6.6,2.1
virginica,7,Sepal,4.9,2.5
virginica,7,Petal,4.5,1.7
virginica,8,Sepal,7.3,2.9
virginica,8,Petal,6.3,1.8
virginica,9,Sepal,6.7,2.5
virginica,9,Petal,5.8,1.8
virginica,10,Sepal,7.2,3.6
virginica,10,Petal,6.1,2.5
virginica,11,Sepal,6.5,3.2
virginica,11,Petal,5.1,2
virginica,12,Sepal,6.4,2.7
virginica,12,Petal,5.3,1.9
virginica,13,Sepal,6.8,3
virginica,13,Petal,5.5,2.1
virginica,14,Sepal,5.7,2.5
virginica,14,Petal,5,2
virginica,15,Sepal,5.8,2.8
virginica,15,Petal,5.1,2.4
virginica,16,Sepal,6.4,3.2
virginica,16,Petal,5.3,2.3
virginica,17,Sepal,6.5,3
virginica,17,Petal,5.5,1.8
virginica,18,Sepal,7.7,3.8
virginica,18,Petal,6.7,2.2
virginica,19,Sepal,7.7,2.6
virginica,19,Petal,6.9,2.3
virginica,20,Sepal,6,2.2
virginica,20,Petal,5,1.5
virginica,21,Sepal,6.9,3.2
virginica,21,Petal,5.7,2.3
virginica,22,Sepal,5.6,2.8
virginica,22,Petal,4.9,2
virginica,23,Sepal,7.7,2.8
virginica,23,Petal,6.7,2
virginica,24,Sepal,6.3,2.7
virginica,24,Petal,4.9,1.8
virginica,25,Sepal,6.7,3.3
virginica,25,Petal,5.7,2.1
virginica,26,Sepal,7.2,3.2
virginica,26,Petal,6,1.8
virginica,27,Sepal,6.2,2.8
virginica,27,Petal,4.8,1.8
virginica,28,Sepal,6.1,3
virginica,28,Petal,4.9,1.8
virginica,29,Sepal,6.4,2.8
virginica,29,Petal,5.6,2.1
virginica,30,Sepal,7.2,3
virginica,30,Petal,5.8,1.6
virginica,31,Sepal,7.4,2.8
virginica,31,Petal,6.1,1.9
virginica,32,Sepal,7.9,3.8
virginica,32,Petal,6.4,2
virginica,33,Sepal,6.4,2.8
virginica,33,Petal,5.6,2.2
virginica,34,Sepal,6.3,2.8
virginica,34,Petal,5.1,1.5
virginica,35,Sepal,6.1,2.6
virginica,35,Petal,5.6,1.4
virginica,36,Sepal,7.7,3
virginica,36,Petal,6.1,2.3
virginica,37,Sepal,6.3,3.4
virginica,37,Petal,5.6,2.4
virginica,38,Sepal,6.4,3.1
virginica,38,Petal,5.5,1.8
virginica,39,Sepal,6,3
virginica,39,Petal,4.8,1.8
virginica,40,Sepal,6.9,3.1
virginica,40,Petal,5.4,2.1
virginica,41,Sepal,6.7,3.1
virginica,41,Petal,5.6,2.4
virginica,42,Sepal,6.9,3.1
virginica,42,Petal,5.1,2.3
virginica,43,Sepal,5.8,2.7
virginica,43,Petal,5.1,1.9
virginica,44,Sepal,6.8,3.2
virginica,44,Petal,5.9,2.3
virginica,45,Sepal,6.7,3.3
virginica,45,Petal,5.7,2.5
virginica,46,Sepal,6.7,3
virginica,46,Petal,5.2,2.3
virginica,47,Sepal,6.3,2.5
virginica,47,Petal,5,1.9
virginica,48,Sepal,6.5,3
virginica,48,Petal,5.2,2
virginica,49,Sepal,6.2,3.4
virginica,49,Petal,5.4,2.3
virginica,50,Sepal,5.9,3
virginica,50,Petal,5.1,1.8
